Condition	Frequency	Block	Timing File	TaskObject#1	
1	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_20.0 _Dur_800.wav)
2	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_20.0 _Dur_800.wav)
3	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_20.0 _Dur_800.wav)
4	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_20.0 _Dur_800.wav)
5	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_20.0 _Dur_800.wav)
6	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_20.0 _Dur_800.wav)
7	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_24.0 _Dur_800.wav)
8	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_24.0 _Dur_800.wav)
9	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_24.0 _Dur_800.wav)
10	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_24.0 _Dur_800.wav)
11	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_24.0 _Dur_800.wav)
12	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_100.0 _RV_24.0 _Dur_800.wav)
13	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_3.1 _RV_28.0 _Dur_800.wav)
14	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_6.2 _RV_28.0 _Dur_800.wav)
15	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_12.5 _RV_28.0 _Dur_800.wav)
16	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_25.0 _RV_28.0 _Dur_800.wav)
17	1	1	timingfile_assr_exp1	snd(Azi_0.0_Elev_0.0_Type_2_RF_1000.0_RP_0.0_MD_50.0 _RV_28.0 _Dur_800.wav)
